Accident_Index,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Vehicle_Type,Date,DayLengthHours,MaxTemperature,MaxWindSpeed,MinTemperature,SolarRadiation,TotalPrecipitation
201001PY20336,2022-06-10,4,2,3,1,51.404835,2,Bromley,-0.056466,1,2,Metropolitan Police,1,2,30,2024-12-10T08:30:00.000+01:00,1,2,2022-06-10,16.533333333333335,20.7,28.0,13.4,22.87,0.1
523f93b2-d58f-4bd8-a4e2-631832bd49d0,2022-11-06,6,2,1,1,51.158845,1,Crawley,-0.154635,1,2,Sussex,2,4,30,2024-12-10T05:10:00.000+01:00,1,1,2022-11-06,9.4,14.2,26.8,10.3,1.23,21.5
2010550D33646,2022-08-04,3,2,3,1,50.738963,2,West Dorset,-2.928789,1,2,Dorset,1,2,60,2024-12-10T13:45:00.000+01:00,0,2,2022-08-04,15.15,20.1,21.7,13.9,19.84,0.0
200997NE70403,2021-03-25,3,3,6,1,55.855595,0,North Larkshire,-3.800373,1,1,Strathclyde,2,5,70,2024-12-10T02:45:00.000+01:00,0,3,2021-03-25,12.6,9.6,26.8,4.0,9.17,4.2
201050GN2A024,2022-08-07,6,3,6,2,50.413853,1,Cornwall,-5.086077,1,1,Devon and Cornwall,1,3,30,2024-12-10T01:00:00.000+01:00,1,2,2022-08-07,14.966666666666667,21.0,19.4,13.0,25.94,0.0
200906F023878,2021-11-13,5,2,2,1,53.514177,0,Salford,-2.343349,1,2,Greater Manchester,1,2,30,2024-12-10T17:10:00.000+01:00,1,2,2021-11-13,8.716666666666667,12.3,28.1,4.6,4.55,0.0
48080190-2b91-4462-a68e-1a6c2997e0d0,2022-01-26,2,3,6,1,50.741126,0,New Forest,-1.614622,1,2,Hampshire,4,2,60,2024-12-10T19:20:00.000+01:00,0,2,2022-01-26,8.95,7.4,17.7,-0.0,5.64,0.0
201045RE52185,2022-07-07,3,3,6,1,51.285389,2,Reigate and Banstead,-0.184128,1,2,Surrey,1,2,60,2024-12-10T08:45:00.000+01:00,0,2,2022-07-07,16.4,23.0,21.1,15.0,20.74,0.0
ca5923d2-4b40-497f-9a1c-244cb5c94fd5,2021-12-11,5,2,3,1,50.745702,1,New Forest,-1.670145,1,1,Hampshire,1,5,30,2024-12-10T19:07:00.000+01:00,1,2,2021-12-11,8.05,11.4,24.5,2.4,1.16,0.9
01522a93-be17-45ba-a431-0eda74fd65c6,2021-04-20,1,2,3,1,51.159438,1,Dover,1.298314,1,2,Kent,1,2,30,2024-12-10T00:50:00.000+01:00,1,3,2021-04-20,14.166666666666666,10.2,11.1,2.5,19.71,0.0
