AccidentIndex,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Vehicle_Type
200942I001901,2021-01-06,2,2,1,1,51.884192,2,Colchester,0.820223,1,2,Essex,4,4,40,2024-12-10T09:10:00.000+01:00,0,4
200901SX21296,2021-12-18,5,2,3,1,51.619857,2,Barnet,-0.251126,1,1,Metropolitan Police,4,5,40,2024-12-10T10:13:00.000+01:00,1,3
dc228c6b-a914-4377-9735-07f20bc47df7,2022-11-27,6,3,6,1,54.955202,1,Gateshead,-1.61427,1,2,Northumbria,3,2,30,2024-12-10T00:40:00.000+01:00,1,2
200914K316209,2021-11-01,7,2,6,1,53.335566,2,Sheffield,-1.481114,1,2,South Yorkshire,2,2,30,2024-12-10T10:45:00.000+01:00,1,2
9e405373-1d7d-4873-95bb-eeeaaeb1254a,2022-08-22,7,2,3,1,53.385798,2,Warrington,-2.598966,1,2,Cheshire,1,2,30,2024-12-10T15:15:00.000+01:00,1,4
201001PL60545,2022-08-16,1,2,3,1,51.437362,2,Lewisham,-0.054798,1,2,Metropolitan Police,1,2,30,2024-12-10T17:35:00.000+01:00,1,2
200934WN00119,2021-01-03,6,3,6,1,52.214503,1,Northampton,-0.909096,1,1,Northamptonshire,1,2,30,2024-12-10T21:45:00.000+01:00,1,3
b0b9573f-35b8-40f2-99ae-8d9427ce5ddd,2022-01-08,5,1,1,1,53.714568,2,Wakefield,-1.534797,1,2,West Yorkshire,3,5,70,2024-12-10T09:55:00.000+01:00,0,2
201006K033760,2022-07-07,3,2,3,1,53.57716,2,Bolton,-2.434477,1,2,Greater Manchester,2,2,30,2024-12-10T15:00:00.000+01:00,1,2
20103102C3107,2022-12-17,5,2,3,1,52.962479,2,Nottingham,-1.135424,1,2,Nottinghamshire,4,2,30,2024-12-10T10:00:00.000+01:00,1,2
92fe540c-f970-4528-978d-922df68d6d5f,2022-09-09,4,2,2,1,51.130067,2,West Somerset,-3.246884,1,2,Avon and Somerset,1,2,60,2024-12-10T12:34:00.000+01:00,0,2
32303ea7-5e4a-448f-bd86-f6a79789df57,2021-04-05,7,3,6,1,51.250128,2,Maidstone,0.49919,1,2,Kent,1,2,60,2024-12-10T12:00:00.000+01:00,0,2
200963BC15509,2021-09-09,3,3,6,1,52.190685,2,Ceredigion,-4.16528,1,1,Dyfed-Powys,1,2,60,2024-12-10T07:54:00.000+01:00,0,1
f1e11aaa-fe5e-478d-a720-127d1accabee,2022-05-23,7,3,6,1,52.680819,2,Leicester,-1.146913,1,2,Leicestershire,1,2,30,2024-12-10T14:19:00.000+01:00,0,2
201020T020230,2022-06-28,1,3,6,1,52.488335,2,Birmingham,-1.837821,1,1,West Midlands,1,2,30,2024-12-10T16:00:00.000+01:00,1,2
db742f72-6427-4934-810c-5cf870a757fd,2022-11-09,2,3,6,1,51.403312,1,Medway,0.494019,1,1,Kent,2,2,30,2024-12-10T20:50:00.000+01:00,1,2
201020J004360,2022-05-27,4,2,3,1,52.446088,2,Dudley,-2.156956,1,2,West Midlands,1,2,30,2024-12-10T09:45:00.000+01:00,1,1
28744c37-c681-45bc-a28b-e9d920dde9da,2021-08-20,4,2,3,1,52.732114,2,North West Leicestershire,-1.388196,1,2,Leicestershire,1,2,50,2024-12-10T17:07:00.000+01:00,0,1
201001BS70238,2022-05-07,5,1,3,1,51.508882,2,Kensington and Chelsea,-0.197159,1,1,Metropolitan Police,1,5,30,2024-12-10T18:55:00.000+01:00,1,2
200901SX20791,2021-08-05,3,2,3,1,51.58581,2,Barnet,-0.19989,1,2,Metropolitan Police,1,2,30,2024-12-10T19:20:00.000+01:00,1,2
201005FF06262,2022-11-03,3,2,2,1,53.370011,1,Liverpool,-2.907158,2,2,Merseyside,2,2,30,2024-12-10T16:52:00.000+01:00,1,2
c6c42bbd-2e16-4c45-93c8-0b4fa9eaa300,2021-12-02,3,1,3,1,51.444186,1,Dartford,0.247415,1,3,Kent,2,2,40,2024-12-10T17:40:00.000+01:00,0,2
652dc747-88df-46fc-b2a2-010c3ed9b57f,2022-08-15,7,3,6,3,53.852202,2,Leeds,-1.517918,1,2,West Yorkshire,1,2,40,2024-12-10T15:47:00.000+01:00,1,2
2010550C41829,2022-09-12,7,2,6,2,50.686804,2,Poole,-1.947874,1,2,Dorset,1,2,30,2024-12-10T17:20:00.000+01:00,1,2
